"experiment","innovation","pretrain_mode","seed","enhancer","enhancer_norm","joint_model","intensity_aug","lambda_mse","lambda_grad","lambda_decoder_distill","decoder_distill_layers","dice","iou","sensitivity","precision","specificity","accuracy","hd95","cldice","boundary_f1","decision","aggregate_csv"
"E1_anisotropic_enhancer_pretrained","anisotropic_kernel","pretrained","42","anisotropic","bn","v1","on","10.0","0.0","1.0","2,3","0.7576328484029605","0.6208066028355357","0.7746716089500586","0.7601327987044002","0.9711413000823719","0.9506678450005736","23.133975119465834","0.8475967345752004","0.651442040074975","structure_continue","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\anisotropic_enhancer_pretrained_20260710\20260706_094358\aggregate_results.csv"
"E2_decoder_distill_pretrained","decoder_distillation","pretrained","42","basic","bn","decoder_distill","on","10.0","0.0","1.0","2,3","0.7501553730331502","0.6118570453893334","0.8164378378782148","0.7120669051187583","0.9605981545511086","0.9456386041212067","25.071365793354584","0.8399494885685926","0.6259831705768718","pause","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\decoder_distill_pretrained_20260710\20260706_120153\aggregate_results.csv"
"E3_dual_fusion_pretrained","cnn_transunet_dual_fusion","pretrained","42","basic","bn","dual_fusion","on","10.0","0.0","1.0","2,3","0.7546161613553674","0.6166589763483458","0.8068779867579893","0.7273527030040637","0.9631690546236101","0.9471369402132315","23.378706961512354","0.8442665947351112","0.6418012959112935","pause","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\dual_fusion_pretrained_20260710\20260706_132220\aggregate_results.csv"
"E4a_no_enhancer_bn_pretrained","intensity_prior_norm","pretrained","42","basic","none","v1","on","10.0","0.0","1.0","2,3","0.7572785396636637","0.6204002600587105","0.7884092230325808","0.7472374714903689","0.9678106214250582","0.9490180759262726","23.13857434688672","0.846926994641138","0.6434340430553768","watch","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\no_enhancer_bn_pretrained_20260710\20260707_004949\aggregate_results.csv"
"E4b_no_intensity_aug_pretrained","intensity_prior_augmentation","pretrained","42","basic","bn","v1","off","10.0","0.0","1.0","2,3","0.7580631280826412","0.6210075293218453","0.799155981148425","0.7383648498907216","0.9657369096803807","0.948685392328048","22.808350554833176","0.8487812927040498","0.6464301602918924","structure_continue","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\no_intensity_aug_pretrained_20260710\20260707_022559\aggregate_results.csv"
"E1_anisotropic_enhancer_scratch","anisotropic_kernel","scratch","42","anisotropic","bn","v1","on","10.0","0.0","1.0","2,3","0.7554324979667346","0.6178647271521445","0.785233767501142","0.7465296090981596","0.9679534317855504","0.9493767274636812","23.30801711804648","0.8421441073639448","0.6453535065115403","pause","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\anisotropic_enhancer_scratch_20260710\20260707_042547\aggregate_results.csv"
"E2_decoder_distill_scratch","decoder_distillation","scratch","42","basic","bn","decoder_distill","on","10.0","0.0","1.0","2,3","0.754852520881526","0.6163003337309365","0.7902278414494359","0.742404949763167","0.9678468626453876","0.9490223805846548","22.618171699952047","0.8412320340499624","0.6361199190968791","pause","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\decoder_distill_scratch_20260710\20260707_072014\aggregate_results.csv"
"E3_dual_fusion_scratch","cnn_transunet_dual_fusion","scratch","42","basic","bn","dual_fusion","on","10.0","0.0","1.0","2,3","0.75462760973635","0.6166256129785627","0.7630283373818761","0.7651208532428562","0.9717237816772348","0.9504854044790563","22.762353076763155","0.842761845642537","0.6476747673878862","pause","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\dual_fusion_scratch_20260710\20260707_091438\aggregate_results.csv"
"E4a_no_enhancer_bn_scratch","intensity_prior_norm","scratch","42","basic","none","v1","on","10.0","0.0","1.0","2,3","0.757779212831989","0.6196619018293069","0.804935405114034","0.7332975839698426","0.9644925969005546","0.9481343610578981","22.90608959924871","0.8437831872039658","0.6379485561360543","watch","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\no_enhancer_bn_scratch_20260710\20260707_104607\aggregate_results.csv"
"E4b_no_intensity_aug_scratch","intensity_prior_augmentation","scratch","42","basic","bn","v1","off","10.0","0.0","1.0","2,3","0.7568266703567691","0.6189907196513098","0.7990933412323438","0.7353746345858503","0.9665906763101837","0.9488695477134738","23.89731638421316","0.8460606493162633","0.6377368521169509","watch","D:\Projects_\JiaBi_new\results\unified_eval_four_innovation_probes_20260710\no_intensity_aug_scratch_20260710\20260707_122126\aggregate_results.csv"
