"experiment","innovation","pretrain_mode","seed","pretrained","enhancer","enhancer_norm","joint_model","intensity_aug","lambda_mse","lambda_grad","lambda_decoder_distill","decoder_distill_layers","batch_size","weight","train_log","eval_log"
"E1_anisotropic_enhancer_pretrained","anisotropic_kernel","pretrained","42","model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","anisotropic","bn","v1","on","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\anisotropic_enhancer_pretrained_20260710\0706_0803\best_model.pth","results\four_innovation_probes_20260710\logs\anisotropic_enhancer_pretrained_20260710_train.log","results\four_innovation_probes_20260710\logs\anisotropic_enhancer_pretrained_20260710_eval.log"
"E2_decoder_distill_pretrained","decoder_distillation","pretrained","42","model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","basic","bn","decoder_distill","on","10.0","0.0","1.0","2,3","2","D:\Projects_\JiaBi_new\results\experiments\all_filtered\decoder_distill_pretrained_20260710\0706_0944\best_model.pth","results\four_innovation_probes_20260710\logs\decoder_distill_pretrained_20260710_train.log","results\four_innovation_probes_20260710\logs\decoder_distill_pretrained_20260710_eval.log"
"E3_dual_fusion_pretrained","cnn_transunet_dual_fusion","pretrained","42","model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","basic","bn","dual_fusion","on","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\dual_fusion_pretrained_20260710\0706_1202\best_model.pth","results\four_innovation_probes_20260710\logs\dual_fusion_pretrained_20260710_train.log","results\four_innovation_probes_20260710\logs\dual_fusion_pretrained_20260710_eval.log"
"E4a_no_enhancer_bn_pretrained","intensity_prior_norm","pretrained","42","model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","basic","none","v1","on","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\no_enhancer_bn_pretrained_20260710\0706_2320\best_model.pth","results\four_innovation_probes_20260710\logs\no_enhancer_bn_pretrained_20260710_train.log","results\four_innovation_probes_20260710\logs\no_enhancer_bn_pretrained_20260710_eval.log"
"E4b_no_intensity_aug_pretrained","intensity_prior_augmentation","pretrained","42","model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","basic","bn","v1","off","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\no_intensity_aug_pretrained_20260710\0707_0050\best_model.pth","results\four_innovation_probes_20260710\logs\no_intensity_aug_pretrained_20260710_train.log","results\four_innovation_probes_20260710\logs\no_intensity_aug_pretrained_20260710_eval.log"
"E1_anisotropic_enhancer_scratch","anisotropic_kernel","scratch","42","","anisotropic","bn","v1","on","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\anisotropic_enhancer_scratch_20260710\0707_0226\best_model.pth","results\four_innovation_probes_20260710\logs\anisotropic_enhancer_scratch_20260710_train.log","results\four_innovation_probes_20260710\logs\anisotropic_enhancer_scratch_20260710_eval.log"
"E2_decoder_distill_scratch","decoder_distillation","scratch","42","","basic","bn","decoder_distill","on","10.0","0.0","1.0","2,3","2","D:\Projects_\JiaBi_new\results\experiments\all_filtered\decoder_distill_scratch_20260710\0707_0426\best_model.pth","results\four_innovation_probes_20260710\logs\decoder_distill_scratch_20260710_train.log","results\four_innovation_probes_20260710\logs\decoder_distill_scratch_20260710_eval.log"
"E3_dual_fusion_scratch","cnn_transunet_dual_fusion","scratch","42","","basic","bn","dual_fusion","on","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\dual_fusion_scratch_20260710\0707_0720\best_model.pth","results\four_innovation_probes_20260710\logs\dual_fusion_scratch_20260710_train.log","results\four_innovation_probes_20260710\logs\dual_fusion_scratch_20260710_eval.log"
"E4a_no_enhancer_bn_scratch","intensity_prior_norm","scratch","42","","basic","none","v1","on","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\no_enhancer_bn_scratch_20260710\0707_0915\best_model.pth","results\four_innovation_probes_20260710\logs\no_enhancer_bn_scratch_20260710_train.log","results\four_innovation_probes_20260710\logs\no_enhancer_bn_scratch_20260710_eval.log"
"E4b_no_intensity_aug_scratch","intensity_prior_augmentation","scratch","42","","basic","bn","v1","off","10.0","0.0","1.0","2,3","4","D:\Projects_\JiaBi_new\results\experiments\all_filtered\no_intensity_aug_scratch_20260710\0707_1046\best_model.pth","results\four_innovation_probes_20260710\logs\no_intensity_aug_scratch_20260710_train.log","results\four_innovation_probes_20260710\logs\no_intensity_aug_scratch_20260710_eval.log"
