group,experiment,arch,encoder_name,encoder_weights,teacher_mode,seg_loss,dice,iou,sensitivity,precision,hd95,cldice,boundary_f1,aggregate_csv
TransUNet pretrained P0,Ours_green_mse10_grad0_pretrained,,,,green_only,bce_dice,0.758321846,0.620845496,0.803113859,0.734697398,22.04572133,0.846460796,0.641435053,results/unified_eval_pretrained_p0_20260622/ours_green_mse10_grad0_pretrained_20260622/20260623_130656/aggregate_results.csv
Old ours/ref,Ours_green_only_mse_only,,,,green_only,,0.757144138,0.619255297,0.796016889,0.739861493,23.27389012,0.845081411,0.647749225,results/unified_eval_next_20260620/20260620_074510/aggregate_results.csv
Old ours/ref,Ours green only multiscale,,,,green_only,,0.75693954,0.619185275,0.774227967,0.758860145,23.28432574,0.845907765,0.648896894,results/unified_eval/20260620_004729/aggregate_results.csv
Old ours/ref,Ours_green_mse10_grad0_cldice_boundary,,,,green_only,bce_dice_cldice_boundary,0.756693422,0.618347009,0.792818708,0.742102371,23.54685909,0.853313245,0.65194992,results/unified_eval_seg_loss_20260621/ours_green_mse10_grad0_cldice_boundary_20260621/20260621_182316/aggregate_results.csv
TransUNet pretrained P0,TransUNet_pretrained,,,,,bce_dice,0.756666456,0.618845882,0.801645688,0.73306797,22.69044602,0.848904997,0.633637062,results/unified_eval_pretrained_p0_20260622/transunet_pretrained_20260622/20260623_114507/aggregate_results.csv
Old ours/ref,Ours green only,,,,green_only,,0.756655571,0.618425051,0.815570817,0.722952454,23.25781614,0.84400528,0.634821223,results/unified_eval/20260620_004729/aggregate_results.csv
Structure teacher pretrained,Ours_green_blackhat_cbdice_boundary_pretrained,,,,green_blackhat,bce_dice_cbdice_boundary,0.75588488,0.617511182,0.801636961,0.733220805,22.60786463,0.85115658,0.641359131,results/unified_eval_structure_teacher_cbdice_20260622/ours_green_blackhat_mse10_grad0_cbdice_boundary_20260622_pretrained/20260623_232322/aggregate_results.csv
Structure teacher pretrained,Ours_green_clahe_blackhat_cbdice_boundary_pretrained,,,,green_clahe_blackhat,bce_dice_cbdice_boundary,0.753760392,0.616036416,0.803812437,0.729436387,23.62543909,0.849667383,0.641010142,results/unified_eval_structure_teacher_cbdice_20260622/ours_green_clahe_blackhat_mse10_grad0_cbdice_boundary_20260622_pretrained/20260624_011355/aggregate_results.csv
Old baseline,TransUNet,,,,,,0.752176342,0.613972737,0.783750909,0.742831593,24.11025681,0.840290974,0.640470815,results/unified_eval/20260620_004729/aggregate_results.csv
TransUNet pretrained P0,Ours_green_mse10_grad0_cldice_boundary_pretrained,,,,green_only,bce_dice_cldice_boundary,0.751672599,0.613696871,0.832942876,0.703100794,22.96059471,0.851636608,0.623012301,results/unified_eval_pretrained_p0_20260622/ours_green_mse10_grad0_cldice_boundary_pretrained_20260622/20260623_142418/aggregate_results.csv
Structure teacher pretrained,Ours_green_frangi_cbdice_boundary_pretrained,,,,green_frangi,bce_dice_cbdice_boundary,0.75164898,0.612595313,0.79325335,0.734174666,23.74139579,0.847057236,0.630778371,results/unified_eval_structure_teacher_cbdice_20260622/ours_green_frangi_mse10_grad0_cbdice_boundary_20260622_pretrained/20260624_023837/aggregate_results.csv
SMP baseline scratch,all_filtered/smp_unetplusplus_efficientnet_b3_20260623_scratch,unetplusplus,efficientnet-b3,,,bce_dice,0.751381353,0.612991323,0.78301077,0.741932054,24.47592512,0.839199308,0.639055355,results/experiments/all_filtered/smp_unetplusplus_efficientnet_b3_20260623_scratch/0623_1923/aggregate_results.csv
SMP baseline scratch,all_filtered/smp_unetplusplus_efficientnet_b3_20260623_scratch,unetplusplus,efficientnet-b3,,,bce_dice,0.751381353,0.612991323,0.78301077,0.741932054,24.47592512,0.839199308,0.639055355,results/experiments/all_filtered/smp_unetplusplus_efficientnet_b3_20260623_scratch/0624_1137/aggregate_results.csv
SMP baseline imagenet,all_filtered/smp_unetplusplus_efficientnet_b3_20260623_imagenet,unetplusplus,efficientnet-b3,imagenet,,bce_dice,0.750487088,0.611609379,0.789365645,0.732558134,23.33975931,0.83953606,0.631534394,results/experiments/all_filtered/smp_unetplusplus_efficientnet_b3_20260623_imagenet/0625_1703/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_cldice_boundary_20260623_scratch,unetplusplus,efficientnet-b3,,green_only,bce_dice_cldice_boundary,0.750151824,0.611377177,0.792176401,0.731855427,23.97386433,0.845773593,0.638887821,results/experiments/all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_cldice_boundary_20260623_scratch/0625_1200/aggregate_results.csv
SMP joint imagenet,all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_mse10_grad0_20260623_imagenet,unetplusplus,efficientnet-b3,imagenet,green_only,bce_dice,0.749400118,0.61086392,0.781693673,0.739208268,22.89952503,0.839533384,0.634850643,results/experiments/all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_mse10_grad0_20260623_imagenet/0626_1051/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_scratch,fpn,resnet34,,green_only,bce_dice,0.749110319,0.609760654,0.783861208,0.736047663,22.96599753,0.836925658,0.629742392,results/experiments/all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_scratch/0625_0955/aggregate_results.csv
SMP joint imagenet,all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_imagenet,fpn,resnet34,imagenet,green_only,bce_dice,0.748982981,0.6094155,0.789763965,0.731528839,24.02185546,0.838211089,0.628151625,results/experiments/all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_imagenet/0626_1022/aggregate_results.csv
Old baseline,UNet++,,,,,,0.748365643,0.608242196,0.729072048,0.789651235,23.49038039,0.839114045,0.645586042,results/unified_eval/20260620_004729/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_mse10_grad0_20260623_scratch,unetplusplus,efficientnet-b3,,green_only,bce_dice,0.747996942,0.609272561,0.788336058,0.732015197,24.95188831,0.836871338,0.632348988,results/experiments/all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_mse10_grad0_20260623_scratch/0625_0213/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_mse10_grad0_20260623_scratch,unetplusplus,efficientnet-b3,,green_only,bce_dice,0.747996942,0.609272561,0.788336058,0.732015197,24.95188831,0.836871338,0.632348988,results/experiments/all_filtered/smp_joint_unetplusplus_efficientnet_b3_green_mse10_grad0_20260623_scratch/0625_1025/aggregate_results.csv
SMP joint imagenet,all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_imagenet,deeplabv3plus,resnet34,imagenet,green_only,bce_dice,0.746285633,0.606601944,0.786257729,0.729801108,25.13818347,0.835249422,0.622647295,results/experiments/all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_imagenet/0626_0956/aggregate_results.csv
SMP baseline imagenet,all_filtered/smp_deeplabv3plus_resnet34_20260623_imagenet,deeplabv3plus,resnet34,imagenet,,bce_dice,0.745639329,0.605360979,0.78684808,0.727688952,23.57513815,0.834051492,0.624691839,results/experiments/all_filtered/smp_deeplabv3plus_resnet34_20260623_imagenet/0625_1635/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_scratch,deeplabv3plus,resnet34,,green_only,bce_dice,0.745614144,0.60612192,0.748684933,0.765305446,23.95037156,0.831636574,0.633970935,results/experiments/all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_scratch/0625_0922/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_scratch,deeplabv3plus,resnet34,,green_only,bce_dice,0.744997674,0.604410632,0.766429416,0.744227659,24.52728885,0.832727769,0.6260402,results/experiments/all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_scratch/0625_0105/aggregate_results.csv
SMP baseline scratch,all_filtered/smp_fpn_resnet34_20260623_scratch,fpn,resnet34,,,bce_dice,0.744795092,0.604951973,0.77806827,0.733842073,23.77819884,0.831979247,0.624858706,results/experiments/all_filtered/smp_fpn_resnet34_20260623_scratch/0623_1859/aggregate_results.csv
SMP baseline imagenet,all_filtered/smp_fpn_resnet34_20260623_imagenet,fpn,resnet34,imagenet,,bce_dice,0.744602196,0.604487475,0.791065684,0.724343239,25.69489483,0.830067497,0.613077381,results/experiments/all_filtered/smp_fpn_resnet34_20260623_imagenet/0625_1650/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_fpn_resnet34_green_cldice_boundary_20260623_scratch,fpn,resnet34,,green_only,bce_dice_cldice_boundary,0.744388129,0.60429479,0.811752192,0.705076177,24.25728504,0.837879914,0.618584626,results/experiments/all_filtered/smp_joint_fpn_resnet34_green_cldice_boundary_20260623_scratch/0625_1127/aggregate_results.csv
SMP baseline scratch,all_filtered/smp_fpn_resnet34_20260623_scratch,fpn,resnet34,,,bce_dice,0.744384654,0.603998777,0.769031392,0.741322041,25.27099386,0.832945616,0.62380437,results/experiments/all_filtered/smp_fpn_resnet34_20260623_scratch/0624_1056/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_scratch,fpn,resnet34,,green_only,bce_dice,0.744147574,0.603934951,0.802564559,0.7112244,25.04879819,0.830412461,0.613492001,results/experiments/all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_scratch/0624_2334/aggregate_results.csv
SMP baseline scratch,all_filtered/smp_deeplabv3plus_resnet34_20260623_scratch,deeplabv3plus,resnet34,,,bce_dice,0.743778033,0.603319512,0.774412581,0.736895637,24.47119843,0.830384896,0.624267912,results/experiments/all_filtered/smp_deeplabv3plus_resnet34_20260623_scratch/0624_1022/aggregate_results.csv
SMP baseline scratch,all_filtered/smp_deeplabv3plus_resnet34_20260623_scratch,deeplabv3plus,resnet34,,,bce_dice,0.743201208,0.602535474,0.780417896,0.730180437,24.42685638,0.831276037,0.621717866,results/experiments/all_filtered/smp_deeplabv3plus_resnet34_20260623_scratch/0623_1823/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_scratch,fpn,resnet34,,green_only,bce_dice,0.743146885,0.602770839,0.782138312,0.7270289,25.11097959,0.830380446,0.621588574,results/experiments/all_filtered/smp_joint_fpn_resnet34_green_mse10_grad0_20260623_scratch/0625_0145/aggregate_results.csv
SMP joint scratch,all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_scratch,deeplabv3plus,resnet34,,green_only,bce_dice,0.741956801,0.601024033,0.776275285,0.731386505,25.43920531,0.829392038,0.620305981,results/experiments/all_filtered/smp_joint_deeplabv3plus_resnet34_green_mse10_grad0_20260623_scratch/0624_2305/aggregate_results.csv
Old baseline,UNet,,,,,,0.737438602,0.596246282,0.718868624,0.78508154,24.57798585,0.823114719,0.635059424,results/unified_eval/20260620_004729/aggregate_results.csv
