experiment,group,pretrain_mode,seed,dice,iou,sensitivity,precision,specificity,accuracy,hd95,cldice,boundary_f1,delta_vs_transunet_seed42,delta_vs_ours_seed42,aggregate_csv
"TransUNet_scratch_seed43","baseline","scratch",43,0.7524139499215967,0.6140942474272754,0.7956008961976992,0.7330159748796012,0.9653614299115055,0.9475454277956507,23.24216627934476,0.8408533295983188,0.6337755223437487,0.000237608281726254,-0.00473018807840331,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\transunet_scratch_seed43_20260710\20260709_021827\aggregate_results.csv"
"Ours_green_mse10_grad0_scratch_seed43","old_ours","scratch",43,0.7587843053646571,0.6210445990786402,0.7904639283699925,0.7477594660578136,0.9679896316935226,0.9494624356618773,23.444983728997403,0.8476162039480617,0.6503631523728287,0.00660796372478667,0.00164016736465711,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\ours_green_mse10_grad0_scratch_seed43_20260710\20260709_034649\aggregate_results.csv"
"C3_anisotropic_no_bn_no_intensity_scratch_seed43","new_c3","scratch",43,0.754882581827417,0.6176607215525813,0.7780982307027766,0.75283054290959,0.9700984776981123,0.9501102342525711,22.600357683036826,0.8437850054554334,0.6427162801987719,0.0027062401875465,-0.00226155617258306,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\c3_anisotropic_no_bn_no_intensity_scratch_seed43_20260710\20260709_051513\aggregate_results.csv"
"TransUNet_scratch_seed44","baseline","scratch",44,0.7507390714620141,0.611713884076601,0.7687038424101766,0.7529111114195257,0.969867358447753,0.9490349445875753,23.55888801982105,0.8398795950250688,0.6376035927638342,-0.00143727017785633,-0.00640506653798589,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\transunet_scratch_seed44_20260710\20260709_063448\aggregate_results.csv"
"Ours_green_mse10_grad0_scratch_seed44","old_ours","scratch",44,0.7592995220341128,0.6218423146150334,0.8126168536172937,0.7301293711428639,0.9637859329925799,0.9482680154510834,23.541946199061798,0.8473480246179449,0.6423005928007334,0.00712318039424231,0.00215538403411275,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\ours_green_mse10_grad0_scratch_seed44_20260710\20260709_080302\aggregate_results.csv"
"C3_anisotropic_no_bn_no_intensity_scratch_seed44","new_c3","scratch",44,0.7596784793571892,0.621765701730086,0.7887594138644088,0.7504004746754633,0.9688943961914653,0.9498381658439242,23.163045847629395,0.8478949116251605,0.645128963365213,0.00750213771731878,0.00253434135718922,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\c3_anisotropic_no_bn_no_intensity_scratch_seed44_20260710\20260709_091606\aggregate_results.csv"
"TransUNet_pretrained_seed43","baseline","pretrained",43,0.7582645848535202,0.6211036227199404,0.8177498206616147,0.7246263357821904,0.9627485352356299,0.9476442949495518,23.14215806180824,0.8500558959547785,0.6395042643530309,0.00159812872416032,-5.72613231984986E-05,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\transunet_pretrained_seed43_20260710\20260710_011309\aggregate_results.csv"
"Ours_green_mse10_grad0_pretrained_seed43","old_ours","pretrained",43,0.754880083846193,0.6171715008909788,0.7968592284687832,0.7358358909666273,0.965402673876552,0.9478923902607042,22.470246362870345,0.8449859490895113,0.6307894152971412,-0.00178637228316691,-0.00344176233052573,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\ours_green_mse10_grad0_pretrained_seed43_20260710\20260710_022741\aggregate_results.csv"
"C3_anisotropic_no_bn_no_intensity_pretrained_seed43","new_c3","pretrained",43,0.760258121978193,0.624424338365077,0.7930356878343535,0.7486478145205733,0.9686388215627988,0.9503091934631652,22.590480703161695,0.8532608591672747,0.6529457873677535,0.00359166584883308,0.00193627580147426,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\c3_anisotropic_no_bn_no_intensity_pretrained_seed43_20260710\20260710_034031\aggregate_results.csv"
"TransUNet_pretrained_seed44","baseline","pretrained",44,0.7558503854899581,0.6189936961169025,0.7990191167068077,0.7366638179334174,0.9655519676726857,0.9481501448052997,23.027313636208042,0.8491956681878889,0.6375086709777602,-0.000816070639401811,-0.00247146068676063,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\transunet_pretrained_seed44_20260710\20260710_044840\aggregate_results.csv"
"Ours_green_mse10_grad0_pretrained_seed44","old_ours","pretrained",44,0.760160111879459,0.623919147921121,0.8092865853754859,0.7335057773853519,0.964210591066138,0.9484469212531161,21.599367857981083,0.8529366137888844,0.6387822935273512,0.00349365575009908,0.00183826570274026,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\ours_green_mse10_grad0_pretrained_seed44_20260710\20260710_060302\aggregate_results.csv"
"C3_anisotropic_no_bn_no_intensity_pretrained_seed44","new_c3","pretrained",44,0.7566248680387813,0.6197837359704192,0.7911642972701028,0.7432423652580734,0.9670812873479713,0.9490512182960936,22.448377870903116,0.8469797940032304,0.6373835052124464,-4.1588090578637E-05,-0.00169697813793745,"D:\Projects_\JiaBi_new\results\unified_eval_scratch_delta_multiseed_20260710\c3_anisotropic_no_bn_no_intensity_pretrained_seed44_20260710\20260710_072934\aggregate_results.csv"
