experiment,group,pretrain_mode,seed,pretrained,mode,model_type,enhancer,enhancer_norm,intensity_aug,lambda_mse,lambda_grad,seg_loss,batch_size,weight,train_log,eval_log
"TransUNet_scratch_seed43","baseline","scratch",43,"","baseline","transunet","","","","","","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\transunet_scratch_seed43_20260710\0709_0108\best_model.pth","results\scratch_delta_multiseed_20260710\logs\transunet_scratch_seed43_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\transunet_scratch_seed43_20260710_eval.log"
"Ours_green_mse10_grad0_scratch_seed43","old_ours","scratch",43,"","ours","ours","basic","bn","on","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\ours_green_mse10_grad0_scratch_seed43_20260710\0709_0218\best_model.pth","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_scratch_seed43_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_scratch_seed43_20260710_eval.log"
"C3_anisotropic_no_bn_no_intensity_scratch_seed43","new_c3","scratch",43,"","ours","ours","anisotropic","none","off","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\c3_anisotropic_no_bn_no_intensity_scratch_seed43_20260710\0709_0347\best_model.pth","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_scratch_seed43_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_scratch_seed43_20260710_eval.log"
"TransUNet_scratch_seed44","baseline","scratch",44,"","baseline","transunet","","","","","","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\transunet_scratch_seed44_20260710\0709_0515\best_model.pth","results\scratch_delta_multiseed_20260710\logs\transunet_scratch_seed44_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\transunet_scratch_seed44_20260710_eval.log"
"Ours_green_mse10_grad0_scratch_seed44","old_ours","scratch",44,"","ours","ours","basic","bn","on","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\ours_green_mse10_grad0_scratch_seed44_20260710\0709_0635\best_model.pth","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_scratch_seed44_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_scratch_seed44_20260710_eval.log"
"C3_anisotropic_no_bn_no_intensity_scratch_seed44","new_c3","scratch",44,"","ours","ours","anisotropic","none","off","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\c3_anisotropic_no_bn_no_intensity_scratch_seed44_20260710\0709_0803\best_model.pth","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_scratch_seed44_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_scratch_seed44_20260710_eval.log"
"TransUNet_pretrained_seed43","baseline","pretrained",43,"model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","baseline","transunet","","","","","","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\transunet_pretrained_seed43_20260710\0710_0018\best_model.pth","results\scratch_delta_multiseed_20260710\logs\transunet_pretrained_seed43_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\transunet_pretrained_seed43_20260710_eval.log"
"Ours_green_mse10_grad0_pretrained_seed43","old_ours","pretrained",43,"model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","ours","ours","basic","bn","on","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\ours_green_mse10_grad0_pretrained_seed43_20260710\0710_0113\best_model.pth","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_pretrained_seed43_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_pretrained_seed43_20260710_eval.log"
"C3_anisotropic_no_bn_no_intensity_pretrained_seed43","new_c3","pretrained",43,"model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","ours","ours","anisotropic","none","off","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\c3_anisotropic_no_bn_no_intensity_pretrained_seed43_20260710\0710_0227\best_model.pth","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_pretrained_seed43_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_pretrained_seed43_20260710_eval.log"
"TransUNet_pretrained_seed44","baseline","pretrained",44,"model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","baseline","transunet","","","","","","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\transunet_pretrained_seed44_20260710\0710_0340\best_model.pth","results\scratch_delta_multiseed_20260710\logs\transunet_pretrained_seed44_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\transunet_pretrained_seed44_20260710_eval.log"
"Ours_green_mse10_grad0_pretrained_seed44","old_ours","pretrained",44,"model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","ours","ours","basic","bn","on","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\ours_green_mse10_grad0_pretrained_seed44_20260710\0710_0448\best_model.pth","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_pretrained_seed44_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\ours_green_mse10_grad0_pretrained_seed44_20260710_eval.log"
"C3_anisotropic_no_bn_no_intensity_pretrained_seed44","new_c3","pretrained",44,"model\vit_checkpoint\imagenet21k\R50+ViT-B_16.npz","ours","ours","anisotropic","none","off","10.0","0.0","bce_dice",4,"D:\Projects_\JiaBi_new\results\experiments\all_filtered\c3_anisotropic_no_bn_no_intensity_pretrained_seed44_20260710\0710_0603\best_model.pth","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_pretrained_seed44_20260710_train.log","results\scratch_delta_multiseed_20260710\logs\c3_anisotropic_no_bn_no_intensity_pretrained_seed44_20260710_eval.log"
